values,handstate,values_duplicated
0,0,1
1,0,2
2,0,4
4,0,5
5,0,4
4,0,3
3,0,1
1,0,1
1,0,1
1,0,1
1,0,0
0,0,1
1,0,1
1,0,0
0,0,0
0,0,1
1,0,1
1,0,1
1,0,0
0,0,1
1,0,1
1,0,1
1,0,2
2,0,2
2,0,3
3,0,4
4,0,3
3,0,2
2,0,0
0,0,0
0,0,0
0,0,1
1,0,1
1,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,0,2
2,0,2
2,0,3
3,0,3
3,0,2
2,0,1
1,0,0
0,0,0
0,0,2
2,0,3
3,0,2
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,2
2,0,2
2,0,3
3,0,4
4,0,3
3,0,3
3,0,2
2,0,1
1,0,0
0,0,0
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,2
2,0,2
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,2
2,0,2
2,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,3
3,0,3
3,0,3
3,0,2
2,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,2
2,0,3
3,0,2
2,0,3
3,0,3
3,0,3
3,0,2
2,0,3
3,0,3
3,0,3
3,0,1
1,0,0
0,0,0
0,0,2
2,0,2
2,0,4
4,0,3
3,0,1
1,0,0
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,2
2,0,3
3,0,2
2,0,1
1,0,0
0,0,1
1,0,1
1,0,1
1,0,1
1,0,0
0,0,0
0,0,1
1,0,0
0,0,0
0,0,0
0,0,1
1,0,0
0,0,0
0,0,1
1,0,1
1,0,0
0,0,2
2,0,2
2,0,2
2,0,0
0,0,0
0,0,1
1,0,2
2,0,3
3,0,3
3,0,3
3,0,2
2,0,1
1,0,0
0,0,1
1,0,0
0,0,0
0,0,0
0,0,1
1,0,0
0,0,0
0,0,0
0,0,0
0,0,2
2,0,2
2,0,1
1,0,1
1,0,2
2,0,2
2,0,2
2,0,2
2,0,3
3,0,3
3,0,2
2,0,1
1,0,0
0,0,1
1,0,0
0,0,1
1,0,2
2,0,2
2,0,2
2,0,1
1,0,1
1,0,2
2,0,1
1,0,2
2,0,2
2,0,2
2,0,1
1,0,0
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
2,0,1
1,0,1
1,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,0,1
1,0,2
2,0,2
2,0,2
2,0,2
2,0,2
2,0,1
1,0,0
0,0,1
1,0,2
2,0,2
2,0,2
2,0,2
2,0,2
2,0,3
3,0,3
3,0,3
3,0,2
2,0,2
2,0,2
2,0,3
3,0,3
3,0,3
3,0,4
4,0,2
2,0,1
1,0,0
0,0,0
0,0,1
1,0,2
2,0,2
2,0,1
1,0,1
1,0,1
1,0,1
1,0,0
0,0,1
1,0,2
2,0,2
2,0,1
1,0,0
